brand,type,name,time,address,service,city,record_date
PX Mart,Supermarket,台中國安,08:30-22:30,臺中市西屯區國安一路128號2樓,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中龍門,08:30-22:30,臺中市西屯區黎明路2段866號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中青海,08:30-22:30,臺中市西屯區河南路2段466號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中東光,08:00-23:00,臺中市北區東光路346號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,神岡中正,07:30-22:30,臺中市神岡區中正路21號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中松五,08:00-23:00,臺中市北屯區松竹五路180號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中軍太,08:00-23:00,臺中市北屯區軍功路1段183號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,清水五權,07:30-22:30,臺中市清水區五權路71號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中博二,08:00-23:00,臺中市西區博館二街123號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,太平新興,08:00-23:00,臺中市太平區新興路115號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,梧棲文昌,07:30-22:30,臺中市梧棲區文昌路501號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中四平,08:00-23:00,臺中市北屯區四平路523號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,豐原大豐,08:00-22:30,臺中市豐原區大豐路5段486號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中福星,08:30-22:30,臺中市西屯區福星北路60號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中大坑,08:00-23:00,臺中市北屯區東山路1段346號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,豐原大順,08:00-22:30,臺中市豐原區大順街121號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,豐原向陽,08:00-22:30,臺中市豐原區向陽路126號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,梧棲中華,08:00-22:30,臺中市梧棲區中華路2段610號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中豐樂,08:00-23:00,臺中市南屯區文心南三路690號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,台中工學,08:00-23:00,臺中市南區工學六街130號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中建國南,08:00-23:00,臺中市南區建國南路1段255號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,台中大昌,08:00-23:00,臺中市南屯區大墩五街98號,"農家直採,生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,外埔六分,07:00-22:00,臺中市外埔區六分路297號1樓,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,神岡昌平,07:30-22:30,臺中市神岡區昌平路5段313巷1號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,太平宜昌,08:00-23:00,臺中市太平區宜昌路568號1樓,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,沙鹿北勢,08:00-23:00,臺中市沙鹿區北勢東路516號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,豐原三豐,08:00-22:00,臺中市神岡區五權路1號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,太平樹德,08:00-23:00,臺中市太平區樹德路117號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,東勢東蘭,07:30-22:30,臺中市東勢區東蘭路54之2號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,后里,07:30-22:30,臺中市后里區后里村甲后路587號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,國光,08:00-23:00,臺中市大里區國光路二段70號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,大里,08:00-23:00,臺中市大里區東榮路八號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,沙鹿,07:00-22:00,臺中市沙鹿區大同街119之1號,"生鮮蔬果,全聯阪急麵包,COFFEE,停車場",臺中市,2022-02-24
PX Mart,Supermarket,霧峰民生,07:30-22:30,臺中市霧峰區民生路75號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,大肚,07:00-22:00,臺中市大肚區沙田路二段592號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
PX Mart,Supermarket,神岡中山,07:30-22:30,臺中市神岡區中山路832號,"生鮮蔬果,全聯阪急麵包,COFFEE",臺中市,2022-02-24
